iter	Logloss	Accuracy:use_weights=true	Accuracy:use_weights=false
283	0.1563307191	0.9413944947	0.9325663151
284	0.1561401349	0.9413733273	0.9325663151
285	0.1560218654	0.9413733273	0.9325663151
286	0.1557770902	0.9421686194	0.933205497
287	0.1555035937	0.9423917172	0.9335250879
288	0.1553399135	0.9423917172	0.9335250879
289	0.1550045087	0.9423917172	0.9335250879
290	0.1545134863	0.9416367619	0.932885906
291	0.1543673737	0.9416594719	0.932885906
292	0.1541395215	0.9422152327	0.9335250879
293	0.1539876431	0.9424544233	0.9338446788
294	0.1537316024	0.9420773448	0.9335250879
295	0.1533770043	0.9422803567	0.9335250879
296	0.1530435527	0.9427553568	0.9341642697
297	0.1529516184	0.9427553568	0.9341642697
298	0.1527644185	0.9427553568	0.9341642697
299	0.152454865	0.9430625915	0.9344838607
300	0.1522169846	0.9430625915	0.9344838607
301	0.1518275112	0.9430625915	0.9344838607
302	0.1515069434	0.9430625915	0.9344838607
303	0.151377472	0.9430625915	0.9344838607
304	0.151213063	0.9433310129	0.9348034516
305	0.1508822571	0.9434008567	0.9348034516
306	0.1505952179	0.9431556672	0.9344838607
307	0.1500941122	0.9431556672	0.9344838607
308	0.1499796439	0.9430127522	0.9344838607
309	0.1497671298	0.9430975931	0.9344838607
310	0.1496463206	0.9430127522	0.9344838607
311	0.1493320704	0.9433898307	0.9348034516
312	0.1491126108	0.9433898307	0.9348034516
313	0.1489958993	0.9433898307	0.9348034516
314	0.1486809088	0.9433720757	0.9348034516
315	0.1484401132	0.9440021422	0.9354426334
316	0.1480972954	0.9437099046	0.9351230425
317	0.1478470814	0.9440021422	0.9354426334
318	0.1476330867	0.9440021422	0.9354426334
319	0.1473927558	0.9442270758	0.9357622244
320	0.1470889786	0.9442270758	0.9357622244
321	0.1468695523	0.9442270758	0.9357622244
322	0.1466395161	0.9445343105	0.9360818153
323	0.1463838314	0.9442270758	0.9357622244
324	0.1462190886	0.9442270758	0.9357622244
325	0.1459494656	0.9445343105	0.9360818153
326	0.1457930452	0.9445343105	0.9360818153
327	0.1454439223	0.9444363557	0.9357622244
328	0.1453500954	0.9444363557	0.9357622244
329	0.1451507058	0.9443919181	0.9357622244
330	0.1450001585	0.9443919181	0.9357622244
331	0.1447152985	0.9441669845	0.9354426334
332	0.1444996861	0.9441669845	0.9354426334
333	0.144298283	0.9443919181	0.9357622244
334	0.1440675507	0.9443919181	0.9357622244
335	0.1438440997	0.9443919181	0.9357622244
336	0.1435840681	0.9443919181	0.9357622244
337	0.1432811757	0.944687942	0.9360818153
338	0.1431793207	0.944687942	0.9360818153
339	0.1430143011	0.944687942	0.9360818153
340	0.1428287524	0.944687942	0.9360818153
341	0.1426951646	0.9444458065	0.9357622244
342	0.1425303619	0.9444458065	0.9357622244
343	0.1422521229	0.9444458065	0.9357622244
344	0.1420516544	0.9444458065	0.9357622244
345	0.1417790748	0.9444458065	0.9357622244
346	0.1417221032	0.944690996	0.9360818153
347	0.1413897265	0.9450298611	0.9364014062
348	0.1411617934	0.9450298611	0.9364014062
349	0.1409452028	0.9450298611	0.9364014062
350	0.1405426453	0.944690996	0.9360818153
351	0.1402799578	0.9452719966	0.9367209971
352	0.1400809327	0.9453899792	0.937040588
353	0.139962698	0.9457288443	0.937360179
354	0.1397267524	0.9457288443	0.937360179
355	0.1395266022	0.9461223548	0.9376797699
356	0.1392906003	0.9463471482	0.9379993608
357	0.1391290972	0.9463471482	0.9379993608
358	0.1388571687	0.9466423937	0.9383189517
359	0.1385733795	0.9466423937	0.9383189517
360	0.1384584984	0.9466423937	0.9383189517
361	0.1382957137	0.9466423937	0.9383189517
362	0.1381837656	0.9469031505	0.9386385427
363	0.1380158139	0.9469031505	0.9386385427
364	0.1377034494	0.9473662718	0.9392777245
365	0.1375528462	0.9473662718	0.9392777245
366	0.1371906963	0.9473662718	0.9392777245
367	0.1370697971	0.9473662718	0.9392777245
368	0.1365878786	0.9478060812	0.9395973154
369	0.1364307168	0.9478060812	0.9395973154
370	0.1361886021	0.9478060812	0.9395973154
371	0.1360096416	0.9474125707	0.9392777245
372	0.1357069528	0.9474245981	0.9392777245
373	0.135534783	0.9471897208	0.9389581336
374	0.135256322	0.9474960319	0.9392777245
375	0.1350057877	0.9478191208	0.9395973154
376	0.1348299498	0.9478191208	0.9395973154
377	0.1347435185	0.9478191208	0.9395973154
378	0.1344088824	0.9483041468	0.9402364973
379	0.1342987624	0.9480692694	0.9399169064
380	0.1341827522	0.9483300262	0.9402364973
381	0.1340845487	0.9483300262	0.9402364973
382	0.1338200689	0.9479759161	0.9399169064
383	0.133606303	0.9479759161	0.9399169064
384	0.1334553523	0.9483041468	0.9402364973
385	0.1333759793	0.9483041468	0.9402364973
386	0.1332706603	0.9487173665	0.9405560882
387	0.1332110285	0.9487173665	0.9405560882
388	0.1329776532	0.9481542584	0.9399169064
389	0.1326214443	0.9484824891	0.9402364973
390	0.132381369	0.9484824891	0.9402364973
391	0.1321610981	0.9486892349	0.9405560882
392	0.1318884096	0.9491614381	0.9408756791
393	0.131763063	0.9492614398	0.9408756791
394	0.1315198966	0.9496549503	0.9411952701
395	0.1313734902	0.9496549503	0.9411952701
396	0.1311831418	0.9496549503	0.9411952701
397	0.1310671406	0.9496549503	0.9411952701
398	0.1309612103	0.9496549503	0.9411952701
399	0.1307221868	0.9493267196	0.9408756791
400	0.1304573658	0.9493267196	0.9408756791
401	0.130275104	0.9493267196	0.9408756791
402	0.130191009	0.949561597	0.9411952701
403	0.1299263434	0.9498670413	0.941514861
404	0.1297775796	0.9500952703	0.9418344519
405	0.1296539463	0.9500952703	0.9418344519
406	0.1295541614	0.9500952703	0.9418344519
407	0.1294548176	0.9500952703	0.9418344519
408	0.1293474673	0.9500952703	0.9418344519
409	0.1291802429	0.9503605131	0.9421540428
410	0.1290851621	0.9505674735	0.9421540428
411	0.1287580513	0.9505674735	0.9421540428
412	0.1286420763	0.9505674735	0.9421540428
413	0.1285366056	0.9508849694	0.9424736337
414	0.1283091694	0.9508849694	0.9424736337
415	0.1282387328	0.9508849694	0.9424736337
416	0.1280714837	0.9511502121	0.9427932247
417	0.1279814526	0.9511502121	0.9427932247
418	0.1276912591	0.9514784429	0.9431128156
419	0.1274255508	0.9517379595	0.9434324065
420	0.1271898222	0.9517379595	0.9434324065
421	0.1270243534	0.9519818401	0.9437519974
422	0.1268833936	0.9513883666	0.9431128156
423	0.1267472726	0.9516946778	0.9434324065
424	0.1264753743	0.9525986185	0.9443911793
425	0.1262187171	0.9525289539	0.9443911793
426	0.1261436743	0.9525289539	0.9443911793
427	0.1260252832	0.9528628407	0.9447107702
428	0.125860039	0.9528628407	0.9447107702
429	0.1256286577	0.9531943435	0.9450303611
